song,singer,tempo,energy,sad_weight,happy_weight,energetic_weight,romantic_weight,relaxing_weight,major_feeling,second_major_feeling
Ciao Adios,Anne-Marie,124,0.8,0.0,1.0,0.35,0.6,0.0,happy,romantic
2002,Anne-Marie,100,0.6,0.0,0.5,0.0,1.0,0.0,romantic,happy
Halo,Beyoncé,82,0.52,0.6,0.4,0.0,1.0,0.6,romantic,sad
Single Ladies (Put a Ring on It),Beyoncé,130,0.85,0.4,1.0,0.6,0.6,0.3,happy,energetic
Same Old Love,Selena Gomez,80,0.3,1.0,0.0,0.0,0.8,1.0,sad,relaxing
Let Me Love You,DJ Snake,96,0.58,0.4,0.1,0.0,1.0,0.3,romantic,sad
Tonight (I'm Fuckin' You),Enrique Iglesias,132,0.88,0.4,0.6,1.0,0.5,0.3,energetic,happy
Chandelier,Sia,80,0.3,1.0,0.4,0.0,0.8,0.7,sad,romantic
Bailando,Enrique Iglesias,130,0.89,0.4,0.6,1.0,0.5,0.0,energetic,happy
Cheap Thrills (feat. Sean Paul),Sia,90,0.85,0.0,0.7,0.35,0.7,0.3,happy,romantic
Dusk Till Dawn (Radio Edit),ZAYN ft. Sia,130,0.85,0.4,0.6,1.0,0.5,0.3,energetic,happy
Bad Romance,Lady Gaga,130,0.85,0.0,1.0,1.0,0.5,0.0,energetic,happy
Side to Side,Ariana Grande,100,0.6,0.0,0.1,0.0,1.0,0.0,romantic,happy
Sweet but Psycho,Ava Max,133,0.84,0.0,0.5,0.6,0.5,0.0,energetic,happy
Dance Monkey,Tones And I,133,0.84,0.0,0.9,0.95,0.5,0.0,energetic,happy
All About That Bass,Meghan Trainor,134,0.88,0.0,0.6,0.95,0.6,0.0,energetic,happy
NO,Meghan Trainor,155,0.85,0.0,0.5,0.6,0.5,0.0,energetic,happy
Steal My Girl,One Direction,100,0.78,0.0,0.3,0.0,0.8,0.1,romantic,happy
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,105,0.89,0.0,0.4,0.35,0.5,0.4,romantic,happy
Bye Bye Bye,*NSYNC,130,0.85,0.0,0.6,1.0,0.5,0.3,energetic,happy
Obsessed,Mariah Carey,135,0.76,0.4,0.5,0.25,0.6,0.1,romantic,happy
Shape of You,Ed Sheeran,96,0.83,0.0,0.3,0.35,0.7,0.0,romantic,energetic
Believer,Imagine Dragons,130,0.85,0.0,0.6,1.0,0.5,0.0,energetic,happy
bad guy,Billie Eilish,133,0.84,0.0,0.9,0.95,0.5,0.3,energetic,happy
No Promises,Shayne Ward,84,0.65,0.2,0.0,0.0,0.9,0.3,romantic,relaxing
Umbrella,Rihanna,100,0.6,0.4,0.5,0.0,1.0,0.3,romantic,happy
Who Says,Selena Gomez & The Scene,125,0.85,0.0,1.0,0.4,0.5,0.3,happy,romantic
The Lazy Song,Bruno Mars,82,0.36,0.7,0.0,0.0,0.3,0.7,sad,relaxing
As Long As You Love Me,Justin Bieber,132,0.8,0.0,0.5,0.25,0.5,0.0,happy,romantic
Beauty And A Beat,Justin Bieber,133,0.88,0.0,0.9,0.6,0.5,0.0,happy,energetic
All of Me,John Legend,120,0.65,0.0,0.1,0.05,0.7,0.0,romantic,happy
Maps,Maroon 5,104,0.75,0.4,0.0,0.0,0.5,0.0,romantic,sad
Counting Stars,OneRepublic,130,0.85,0.0,0.6,1.0,0.5,0.0,energetic,happy
Me And My Broken Heart,Rixton,80,0.3,1.0,0.0,0.0,0.8,0.7,sad,romantic
Sorry,Justin Bieber,100,0.85,0.4,0.3,0.35,0.7,0.1,romantic,sad
Close,Nick Jonas,106,0.78,0.0,0.3,0.0,0.5,0.0,romantic,happy
